BENIDORM CHESS OPEN A;;;;;;;;;;;;;;;
Benidorm (Alicante), 2023-10-29 - 2023-11-05;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Clasificación   ;;;;;;;;;;;;;;;
Pos.;Ran.;Tít.;Nombre;Fed.;Pts.;DE1;APRO;BucM;ARO.;Mwns;MBlk;FIDE;Nac.;Origen/Club;Info
1;1;GM;Sonis, Francesco;ITA;8,0;0.0;2345.0;42.0;2300.4;7;4;2564;0;;H
2;8;FM;Kanov, Nikola;BUL;7,0;0.0;2318.2;38.5;2237.4;6;5;2339;0;;H
3;9;FM;Ilinca, Felix-Antonio;ROU;6,5;0.0;2325.0;41.5;2282.0;5;4;2331;2381;;CVH
4;5;IM;Carlsson, Ludvig;SWE;6,5;0.0;2254.8;37.0;2177.3;4;5;2356;0;;H
5;14;IM;Morchiashvili, Bachana;GEO;6,5;0.0;2234.2;37.5;2252.4;5;4;2308;0;;H
6;6;GM;Arkell, Keith C;ENG;6,0;0.0;2299.9;39.5;2241.1;5;4;2355;0;;H
7;10;IM;Ramoutar, Alan-Safar;TTO;6,0;0.0;2272.6;37.5;2254.6;4;5;2330;0;;H
8;19;;Hercegovac, Neven;ITA;6,0;0.0;2209.8;36.0;2150.2;5;4;2207;0;;
9;22;WIM;Balabayeva, Xeniya;KAZ;6,0;0.0;2196.7;36.0;2215.4;5;4;2192;0;;H
10;3;FM;Dauner, Benedikt;GER;6,0;0.0;2154.4;33.5;2133.1;5;4;2389;0;;H
11;15;FM;Chkhaidze, Nikoloz;GEO;6,0;0.0;2143.1;31.0;2100.4;6;5;2262;0;;H
12;12;FM;Yordanov, Lachezar;BUL;6,0;0.0;2121.6;32.5;2141.0;4;4;2323;0;;H
13;11;FM;Cappelletto, Joshuaede;ITA;5,5;0.0;2274.3;38.5;2205.2;5;4;2329;0;;
14;4;FM;Olsson, William;SWE;5,5;0.0;2233.3;36.0;2221.7;5;4;2378;0;;H
15;13;FM;Ezra Paul Chambers;BDI;5,5;0.0;2223.9;32.5;2187.6;4;5;2313;0;;H
16;18;FM;Rey Malde, Henrique;ESP;5,5;0.0;2194.6;33.5;2148.7;4;4;2207;2191;;H
17;24;FM;Nava Pereda, Carlos;ESP;5,5;0.0;2125.7;31.0;2127.9;5;5;2182;2176;;H
18;7;IM;Vestby-Ellingsen, Mads;NOR;5,5;0.0;2082.8;30.5;2069.9;4;4;2343;0;;H
19;23;FM;Torres Sanchez, Jose;ESP;5,0;0.0;2241.3;40.0;2226.8;4;4;2187;2191;;CVH
20;27;FM;Krishnan, Ritvik;IND;5,0;0.0;2211.7;36.5;2207.4;5;4;2176;0;;H
21;28;WGM;Grabuzova, Tatiana;ESP;5,0;0.0;2176.8;36.0;2198.2;5;5;2173;2180;;CV
22;34;;Torres Rebolledo, Alvaro;ESP;5,0;0.0;2167.1;36.0;2147.2;5;5;2113;2135;;H
23;21;FM;Ibanez Aullana, Ramon;ESP;5,0;0.0;2165.3;34.5;2138.9;4;4;2198;2202;;CVH
24;16;FM;Mingarro Carceller, Sergi;ESP;5,0;0.0;2136.1;32.5;2120.0;4;5;2253;2254;;CVH
25;35;;Horcajada Reales, Guillermo;ESP;5,0;0.0;2120.1;31.5;2157.7;4;5;2110;2139;;H
26;32;;Castro Quijano, Eduardo;ESP;5,0;0.0;2048.9;28.5;2039.9;4;5;2127;2134;;H
27;29;;Torres Rebolledo, Victor;ESP;4,5;0.0;2194.3;36.0;2162.3;3;4;2164;2190;;H
28;30;FM;Roulet-Dubonnet, Emerik Vapensta;NOR;4,5;0.0;2174.9;34.5;2135.9;3;5;2164;0;;H
29;38;;Atienza Alvarez, Javier;ESP;4,5;0.0;2150.2;35.5;2168.1;3;5;2082;2088;;CV
30;45;CM;Mompel Ferruz, Xavier;ESP;4,5;0.0;2138.7;35.5;2199.1;3;4;2019;2033;;H
31;40;;Holand, Per Fredrik;NOR;4,5;0.0;2129.7;32.5;2177.4;3;4;2069;0;;H
32;20;FM;Webb, Laurence E;ENG;4,5;0.0;2122.6;29.5;2066.7;4;4;2204;2180;;H
33;26;IM;Mannion, Stephen R;SCO;4,5;0.0;2121.8;31.5;2100.8;2;5;2179;0;;H
34;31;;Nied, Pascal;GER;4,5;0.0;2111.9;30.0;2031.0;1;4;2151;0;;H
35;53;;Amundsen, Ask;NOR;4,5;0.0;2094.7;32.5;2180.7;4;5;1956;0;;H
36;36;;Palomo Teruel, Xavier;ESP;4,5;0.0;2071.9;30.5;2102.9;3;5;2094;2093;;H
37;17;;Jordan Martinez, Miguel;ESP;4,5;0.0;2041.1;26.5;1933.0;4;4;2212;2213;;CVH
38;68;;Daksh Jain;IND;4,5;0.0;2031.9;29.5;2110.8;3;4;1735;0;;H
39;33;;Jordan Martinez, David;ESP;4,0;0.0;2143.2;34.5;2142.2;2;5;2120;2125;;CVH
40;50;;Fernandez Vazquez, Jorge;ESP;4,0;0.0;2090.9;32.0;2081.9;2;4;1970;1968;;H
41;39;;Floris, Federico;ITA;4,0;0.0;2086.8;32.5;2101.7;3;4;2081;0;;H
42;42;;Sendra Tormo, Juan;ESP;4,0;0.0;2070.4;29.5;2011.0;2;4;2057;2050;;CVH
43;62;;Fox, Anthony;IRL;4,0;0.0;1996.9;26.0;2034.6;2;4;1883;0;;H
44;57;FM;Kandic, Milan;SRB;4,0;0.0;1989.9;27.5;2120.1;3;4;1927;0;;H
45;47;;Nesse, David;NOR;4,0;0.0;1986.0;26.0;2017.3;3;5;2005;0;;H
46;51;;Hernandez Tellez, Claudia;ESP;4,0;0.0;1953.6;26.0;2032.9;2;5;1969;1981;;H
47;48;;Troffiguer, Olivier;FRA;4,0;0.0;1946.9;25.0;2007.0;3;5;1996;0;;H
48;37;CM;Uran Bermudez, Oliver Kevin;VEN;3,5;0.0;2197.3;34.0;2129.3;2;4;2083;2092;;CVH
