BENIDORM CHESS OPEN A,,,,,,,,,
"Benidorm (Alicante), 2023-10-29 - 2023-11-05",,,,,,,,,
,,,,,,,,,
Ranking inicial   ,,,,,,,,,
Ran.,Tít.,Nombre,Fed.,FIDE,Nac.,FIDE ID,ID Nac.,Origen/Club,Info
1,GM,"Sonis, Francesco",ITA,2564,0,895733,0,,
2,GM,"Richter, Michael",GER,2432,0,4618920,0,,
3,FM,"Dauner, Benedikt",GER,2389,0,16225899,0,,
4,FM,"Olsson, William",SWE,2378,0,1741721,0,,
5,IM,"Carlsson, Ludvig",SWE,2356,0,1727010,0,,
6,GM,"Arkell, Keith C",ENG,2355,0,400270,0,,
7,IM,"Vestby-Ellingsen, Mads",NOR,2343,0,1520857,0,,
8,FM,"Kanov, Nikola",BUL,2339,0,2928531,0,,
9,FM,"Ilinca, Felix-Antonio",ROU,2331,2381,54764998,39748,,Comunidad Valenciana
10,IM,"Ramoutar, Alan-Safar",TTO,2330,0,7704224,0,,
11,FM,"Cappelletto, Joshuaede",ITA,2329,0,2824383,0,,
12,FM,"Yordanov, Lachezar",BUL,2323,0,2918927,0,,
13,FM,Ezra Paul Chambers,BDI,2313,0,20300204,0,,
14,IM,"Morchiashvili, Bachana",GEO,2308,0,13602535,0,,
15,FM,"Chkhaidze, Nikoloz",GEO,2262,0,13601750,0,,
16,FM,"Mingarro Carceller, Sergi",ESP,2253,2254,2246678,24133,,Comunidad Valenciana
17,,"Jordan Martinez, Miguel",ESP,2212,2213,2283972,16354,,Comunidad Valenciana
18,FM,"Rey Malde, Henrique",ESP,2207,2191,2244969,20360,,Galicia
19,,"Hercegovac, Neven",ITA,2207,0,2839135,0,,
20,FM,"Webb, Laurence E",ENG,2204,2180,402389,41185,,
21,FM,"Ibanez Aullana, Ramon",ESP,2198,2202,2207532,2880,,Comunidad Valenciana
22,WIM,"Balabayeva, Xeniya",KAZ,2192,0,13719688,0,,
23,FM,"Torres Sanchez, Jose",ESP,2187,2191,2217210,12083,,Comunidad Valenciana
