BENIDORM CHESS OPEN A 2025;;;;;;;;;;;;;;
Benidorm (Alicante), 2025-10-26 - 2025-11-02;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Clasificación;;;;;;;;;;;;;;
Pos.;Ran.;Tít.;Nombre;Fed.;Pts.;BH/C1;BH;REP;WIN;BPG;APPO;FIDE;Origen/Club;Info
1;7;FM;Manukyan, Sargis A.;ARM;6,5;38.0;42.5;8;5;3;2271;2322;Armenia;PH
2;2;IM;Lumachi, Gabriele;ITA;6,0;38.5;42.0;8;5;4;2325;2430;Italia;PH
3;1;IM;Medarde Santiago, Luis Marcos;ESP;6,0;36.0;39.5;8;5;3;2289;2436;Padrón;PH
4;3;IM;Favaloro, Andrea;ITA;6,0;35.5;39.0;8;4;4;2236;2406;Italia;PH
5;4;FM;Ezra Paul Chambers;BDI;6,0;33.5;36.5;8;6;4;2203;2362;Burundi;PH
6;10;FM;Mingarro Carceller, Sergi;ESP;6,0;33.5;36.5;8;5;4;2201;2282;Vila-real;PCV
7;6;IM;Sofronie, Iulian;ROU;5,5;35.5;39.0;8;3;4;2234;2349;Rumanía;PH
8;15;FM;Sanchez Saez, Francisco;ESP;5,5;35.0;38.0;8;5;4;2201;2241;EVA Manises;PHCV
9;19;FM;Gomez Anadon, Daniel;AND;5,5;33.5;37.0;8;5;4;2183;2198;Andorra;PH
10;30;FM;Tonndorf, Matthias;GER;5,5;33.0;36.0;8;5;4;2206;2133;Alemania;PH
11;11;IM;Tsyhanchuk, Stanislav;FID;5,5;33.0;36.0;8;4;4;2142;2274;;PH
12;23;FM;Rey Malde, Henrique;ESP;5,5;32.0;34.5;8;3;3;2124;2174;Ourense;PH
13;16;FM;Sofronie, Vladimir;ROU;5,5;31.5;35.0;8;3;4;2200;2236;Rumanía;PH
14;71;;Paarshva Parmar;IND;5,0;35.5;39.0;8;4;3;2172;1922;India;PH
15;8;FM;Rey Martinez, Jaime;ESP;5,0;32.5;36.0;8;4;4;2174;2317;Madrid;PH
16;26;;Cubillo Munoz, Miguel;ESP;5,0;32.0;35.5;8;2;4;2208;2147;Madrid;PH
17;60;;Nechifor, David;ESP;5,0;30.5;35.5;7;2;4;2109;2002;La Vila;PCV
18;37;;Bukharkov, Stepan;FID;5,0;30.5;33.0;8;3;4;2115;2108;Xàbia;PCV
19;62;;Peng, Tianlu;CHN;5,0;30.5;32.0;8;4;4;1993;1990;China;PH
20;21;;Atienza Alvarez, Javier;ESP;5,0;29.5;31.5;8;4;4;2095;2185;Alcoy;PHCV
21;13;FM;Redzisz, Michal;POL;5,0;26.0;27.5;8;3;4;2002;2254;Polonia;PH
22;27;;Torosyan Saghatelyan, Arturo;ESP;5,0;25.5;27.5;8;5;4;2015;2140;Mislata;PHCV
23;12;FM;Serarols Mabras, Bernat;ESP;4,5;36.5;41.0;7;3;3;2296;2264;Andreu Paterna;PCV
24;44;;Horcajada Reales, Guillermo;ESP;4,5;34.5;39.0;7;3;4;2232;2084;Asturias;PH
25;20;;Gruenter, Martin;GER;4,5;34.0;35.5;8;3;4;2169;2194;Alemania;PH
26;56;;Martin Rodriguez, Emilio;ESP;4,5;33.0;36.5;8;2;4;2159;2018;Villaverde;PH
27;24;WFM;Jimenez Fernandez, Rebeca;ESP;4,5;32.5;36.0;8;3;4;2181;2163;Zarandona;PH
28;22;IM;Mannion, Stephen R;SCO;4,5;31.0;33.0;8;3;4;2159;2178;Escocia;PH
29;9;CM;Felix, Raphael;RSA;4,5;30.5;35.0;7;3;3;2133;2290;Sudáfrica;PH
30;25;IM;Meszaros, Andras;HUN;4,5;29.5;34.0;6;3;3;2090;2150;Hungría;PH
31;73;CM;Safin Safarullakhan;UAE;4,5;29.5;32.5;8;4;4;2062;1915;India;PH
32;40;;Deusa Ballesteros, Lucas;ESP;4,5;29.5;31.0;8;2;4;2006;2101;Alaquàs;PHCV
33;75;;Siddharth, Sai;SGP;4,5;29.0;32.0;8;3;4;2071;1905;Singapur;PH
34;36;;Farkash, Denys;UKR;4,5;29.0;30.5;8;4;4;2051;2111;Ucrania;PH
