BENIDORM CHESS OPEN A 2025;;;;;;;;;;;;;;
Benidorm (Alicante), 2025-10-26 - 2025-11-02;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Clasificación;;;;;;;;;;;;;;
Pos.;Ran.;Tít.;Nombre;Fed.;Pts.;BH/C1;BH;REP;WIN;BPG;APPO;FIDE;Origen/Club;Info
1;2;IM;Lumachi, Gabriele;ITA;7,0;46.5;50.5;9;6;4;2314;2430;Italia;PH
2;4;FM;Ezra Paul Chambers;BDI;7,0;43.0;46.5;9;7;4;2221;2362;Burundi;PH
3;7;FM;Manukyan, Sargis A.;ARM;6,5;48.5;53.0;9;5;4;2278;2322;Armenia;PH
4;1;IM;Medarde Santiago, Luis Marcos;ESP;6,5;46.5;50.0;9;5;4;2295;2436;Padrón;PH
5;3;IM;Favaloro, Andrea;ITA;6,5;45.5;49.5;9;4;4;2251;2406;Italia;PH
6;15;FM;Sanchez Saez, Francisco;ESP;6,5;45.0;48.5;9;6;4;2212;2241;EVA Manises;PHCV
7;6;IM;Sofronie, Iulian;ROU;6,5;44.0;47.5;9;4;5;2236;2349;Rumanía;PH
8;23;FM;Rey Malde, Henrique;ESP;6,5;41.0;44.0;9;4;4;2113;2174;Ourense;PH
9;10;FM;Mingarro Carceller, Sergi;ESP;6,0;43.5;47.0;9;5;5;2220;2282;Vila-real;PCV
10;11;IM;Tsyhanchuk, Stanislav;FID;6,0;43.0;47.0;9;4;4;2163;2274;;PH
11;16;FM;Sofronie, Vladimir;ROU;6,0;41.0;44.5;9;3;5;2209;2236;Rumanía;PH
12;26;;Cubillo Munoz, Miguel;ESP;6,0;39.5;43.0;9;3;5;2208;2147;Madrid;PH
13;19;FM;Gomez Anadon, Daniel;AND;5,5;44.5;48.5;9;5;5;2210;2198;Andorra;PH
14;71;;Paarshva Parmar;IND;5,5;44.0;47.5;9;4;4;2162;1922;India;PH
15;44;;Horcajada Reales, Guillermo;ESP;5,5;42.5;48.0;8;4;4;2220;2084;Asturias;PH
16;30;FM;Tonndorf, Matthias;GER;5,5;42.0;45.5;9;5;4;2224;2133;Alemania;PH
17;8;FM;Rey Martinez, Jaime;ESP;5,5;41.0;44.5;9;4;5;2176;2317;Madrid;PH
18;56;;Martin Rodriguez, Emilio;ESP;5,5;39.0;43.0;9;3;4;2137;2018;Villaverde;PH
19;60;;Nechifor, David;ESP;5,5;38.0;43.5;8;2;4;2118;2002;La Vila;PCV
20;62;;Peng, Tianlu;CHN;5,5;38.0;40.5;9;4;4;2048;1990;China;PH
21;75;;Siddharth, Sai;SGP;5,5;37.5;41.0;9;4;5;2075;1905;Singapur;PH
22;21;;Atienza Alvarez, Javier;ESP;5,5;37.5;39.5;9;4;4;2121;2185;Alcoy;PHCV
23;27;;Torosyan Saghatelyan, Arturo;ESP;5,5;33.5;36.0;9;5;5;2041;2140;Mislata;PHCV
24;50;;Racis, Michal;POL;5,5;33.5;36.0;9;4;5;2037;2060;PZSZACH;PH
25;20;;Gruenter, Martin;GER;5,0;42.5;44.0;9;3;4;2151;2194;Alemania;PH
26;43;;Segarra Victorio, Israel;ESP;5,0;38.5;43.5;8;3;4;2165;2086;Ateneu Elx;PHCV
27;22;IM;Mannion, Stephen R;SCO;5,0;38.5;41.0;9;3;5;2142;2178;Escocia;PH
28;37;;Bukharkov, Stepan;FID;5,0;38.0;40.5;9;3;4;2108;2108;Xàbia;PCV
29;40;;Deusa Ballesteros, Lucas;ESP;5,0;36.5;39.0;9;2;4;2076;2101;Alaquàs;PHCV
30;13;FM;Redzisz, Michal;POL;5,0;35.5;37.0;9;3;4;2040;2254;Polonia;PH
31;39;;Albin Sajan;IND;5,0;33.0;35.5;9;3;5;2014;2101;India;PH
32;12;FM;Serarols Mabras, Bernat;ESP;4,5;45.5;50.0;7;3;3;2305;2264;Andreu Paterna;PCV
33;24;WFM;Jimenez Fernandez, Rebeca;ESP;4,5;42.0;45.5;9;3;5;2204;2163;Zarandona;PH
34;32;IM;Stachanczyk, Jacek;POL;4,5;41.5;44.5;9;3;4;2141;2129;PZSZACH;PH
35;9;CM;Felix, Raphael;RSA;4,5;39.0;43.5;7;3;3;2135;2290;Sudáfrica;PH
36;25;IM;Meszaros, Andras;HUN;4,5;38.0;42.5;7;3;3;2100;2150;Hungría;PH
37;36;;Farkash, Denys;UKR;4,5;37.5;39.0;9;4;4;2062;2111;Ucrania;PH
38;29;;Palomo Teruel, Xavier;ESP;4,5;36.5;41.0;8;3;4;2121;2137;Cataluña;PH
39;63;;Jess Ruchandani;IND;4,5;36.5;39.5;9;3;5;2049;1967;India;P
40;73;CM;Safin Safarullakhan;UAE;4,5;36.0;40.5;8;4;4;2059;1915;India;PH
41;33;;Boyer Censore, Giuseppe Enmanuel;VEN;4,5;34.5;37.0;9;4;5;2108;2127;Venezuela;PH
42;48;;Sanchez Barbado, Carlos;ESP;4,5;33.5;36.5;9;4;4;2084;2063;La Vila;PCV
43;28;FM;Delaney, John;IRL;4,5;33.0;37.5;8;2;4;2108;2137;Irlanda;PH
44;68;;Troffiguer, Olivier;FRA;4,5;32.0;34.5;9;3;4;1969;1950;Francia;PH
45;42;;Jankowiak, Piotr;POL;4,5;28.5;33.0;8;2;4;1959;2093;Polonia;PH
46;82;;Dudarec, Elias;CZE;4,0;40.5;43.5;9;2;5;2101;1846;República Checa;PH
47;49;;Koenig, Christian;GER;4,0;38.0;42.0;6;2;3;2106;2061;Alemania;PH
48;14;;Delfino, Luigi;ITA;4,0;37.5;41.5;8;2;4;2122;2249;Italia;PH
49;18;WFM;Rodriguez Redondo, Adhara;ESP;4,0;37.5;41.5;7;3;4;2163;2208;Beniaján;PH
50;46;;Munoz Osete, Marcos;ESP;4,0;37.0;41.0;8;2;4;2127;2075;La Vila;PCV
51;52;;Blanco Sanjuan, Jorge;ESP;4,0;37.0;39.5;9;3;5;2078;2056;Madrid;P
52;5;IM;Hernandez, Cristian Andres;COL;4,0;36.0;40.0;6;2;3;2142;2355;Colombia;PH
53;45;WFM;Sunea, Sara Maria;ROU;4,0;35.0;37.5;9;2;4;2033;2083;Rumanía;PH
54;31;;Bercaru, Vlad Ionut;ESP;4,0;33.5;36.0;9;3;5;2054;2131;Monteolivete;PHCV
55;55;CM;Sakulski, Bernard;ESP;4,0;33.5;35.0;9;4;4;2006;2018;Galicia;PH
56;70;;O`Neill Y Daneiko, Jose Antonio;ESP;4,0;32.0;36.0;6;2;3;1958;1924;Gambito-Benimaclet;PHCV
57;65;;Ramirez Maillo, Juan Adonay;ESP;4,0;32.0;34.5;9;2;5;1974;1963;Telde;PH
58;87;;Lukasiewicz, Ignacy;POL;4,0;31.0;33.0;9;2;4;1955;1812;PZSZACH;PH
59;58;;Ambru, Dan-Calin;ROU;4,0;29.0;31.5;9;2;4;1955;2007;CS Atlas Sah;PH
60;69;;Zanoletty Garcia, David;ESP;4,0;28.5;30.0;9;2;5;1928;1934;ONCE;PH
61;53;;Abel Sajan;IND;3,5;40.5;44.5;9;1;5;2137;2046;India;PH
62;80;;Witter, Jannes;GER;3,5;35.5;39.0;9;2;4;2041;1881;Alemania;PH
63;17;;Gomez Sanjuan, Hector Fernando;ESP;3,5;35.0;38.5;6;2;3;2129;2235;Alcoy;PHCV
64;57;CM;Fernandez Manrique, Agustin;ESP;3,5;35.0;38.0;9;2;5;2045;2013;ONCE;PH
65;34;;Nicolas Zapata, Javier;ESP;3,5;34.0;37.5;8;3;4;2065;2124;Raspeig;PCV
66;79;;Migala, Andrzej;POL;3,5;34.0;37.5;8;1;4;2032;1892;PZSZACH;PH
67;47;;Draghici Flutur, Gavril;ESP;3,5;34.0;36.5;9;2;4;2026;2074;ONCE;PH
68;74;;Rustan, Elias Buschmann;NOR;3,5;33.0;35.0;9;2;4;1975;1907;Noruega;PH
69;54;;Sendra Tormo, Juan;ESP;3,5;32.5;36.0;7;1;3;2035;2026;FACV;PHCV
70;72;;Fox, Anthony;IRL;3,5;32.5;35.5;9;2;4;1971;1921;Irlanda;PH
71;35;;Ramirez Maillo, Cristian;ESP;3,5;32.0;35.5;8;2;4;2036;2112;Las Palmas;PH
72;59;;Martinez Gonzalez, Miguel A.;ESP;3,5;30.5;34.0;8;3;4;1980;2004;CD En Jaque;P
73;51;;Salvador Cabo, Cesar;ESP;3,5;28.0;31.5;8;3;4;1975;2059;Madrid;PH
74;83;WCM;Yasaswi Krishna Bommi;IND;3,0;32.5;35.5;8;2;4;1985;1844;India;PH
75;88;;Vollheim, Daniel O;NOR;3,0;31.5;33.0;9;2;4;1932;1808;Noruega;PH
76;67;;Olivera Gutierrez, Albert;ESP;3,0;31.0;33.5;9;1;5;1974;1953;ONCE;PH
77;66;;Bara, Jan;CZE;3,0;31.0;32.5;9;2;4;1932;1962;República Checa;PH
78;78;;Marquinez Cabrejas, Francisco J.;ESP;3,0;30.0;33.0;9;1;5;1943;1894;País Vasco;PH
79;84;;Stuhaug, Raphael Iglesisas;NOR;3,0;29.0;31.5;9;1;5;1935;1839;Noruega;PH
80;61;;Martin Martin, Luis Vicente;ESP;3,0;27.0;30.0;7;2;4;1948;2000;Madrid;PH
81;38;;Soriano Maya, Juan Pablo;ESP;3,0;27.0;29.5;9;0;5;1963;2106;FACV;PHCV
82;81;;Borecky, Andrej;CZE;2,5;33.0;35.5;9;2;5;1982;1858;República Checa;PH
83;76;;Cafolla, Peter;IRL;2,5;30.0;32.5;7;1;3;1991;1902;Irlanda;PCV
84;85;;Basualdo De Ornelas, Jorge;POR;2,5;26.0;28.5;8;1;4;1902;1826;Las Palmas;PH
85;77;;Williams, Duncan;WLS;2,5;26.0;28.5;5;1;2;1978;1897;Gales;PH
86;41;;Martinez Cardenas, Sebastian Hor;VEN;2,0;28.5;30.5;7;2;4;2051;2099;Venezuela;P
87;64;;Munoz Suarez, Luis Alberto;ESP;2,0;24.0;26.0;7;1;3;1935;1964;Zaragoza;PH
88;86;;Gawle, Ireneusz;POL;1,5;30.5;32.0;9;0;5;1909;1823;Polonia;PH
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BENIDORM CHESS OPEN A 2025 - https://info64.org/benidorm-chess-open-a-2025;;;;;;;;;;;;;;
