BENIDORM CHESS OPEN A 2025;;;;;;;
Benidorm (Alicante), 2025-10-26 - 2025-11-02;;;;;;;
;;;;;;;
Ranking inicial;;;;;;;
Ran.;Tít.;Nombre;Fed.;FIDE;FIDE ID;Origen/Club;Info
1;IM;Medarde Santiago, Luis Marcos;ESP;2436;2263076;Padrón;PH
2;IM;Lumachi, Gabriele;ITA;2430;2817247;Italia;PH
3;IM;Favaloro, Andrea;ITA;2406;885940;Italia;PH
4;FM;Ezra Paul Chambers;BDI;2362;20300204;Burundi;PH
5;IM;Hernandez, Cristian Andres;COL;2355;4402308;Colombia;PH
6;IM;Sofronie, Iulian;ROU;2349;1202936;Rumanía;PH
7;FM;Manukyan, Sargis A.;ARM;2322;13303970;Armenia;PH
8;FM;Rey Martinez, Jaime;ESP;2317;54549264;Madrid;PH
9;CM;Felix, Raphael;RSA;2290;14339544;Sudáfrica;PH
10;FM;Mingarro Carceller, Sergi;ESP;2282;2246678;Vila-real;PCV
11;IM;Tsyhanchuk, Stanislav;FID;2274;13505130;;PH
12;FM;Serarols Mabras, Bernat;ESP;2264;2238276;Andreu Paterna;PCV
13;FM;Redzisz, Michal;POL;2254;21816107;Polonia;PH
14;;Delfino, Luigi;ITA;2249;809993;Italia;PH
15;FM;Sanchez Saez, Francisco;ESP;2241;2231743;EVA Manises;PHCV
16;FM;Sofronie, Vladimir;ROU;2236;1296671;Rumanía;PH
17;;Gomez Sanjuan, Hector Fernando;ESP;2235;22274960;Alcoy;PHCV
18;WFM;Rodriguez Redondo, Adhara;ESP;2208;32065698;Beniaján;PH
19;FM;Gomez Anadon, Daniel;AND;2198;2218151;Andorra;PH
20;;Gruenter, Martin;GER;2194;24640352;Alemania;PH
21;;Atienza Alvarez, Javier;ESP;2185;24511668;Alcoy;PHCV
22;IM;Mannion, Stephen R;SCO;2178;2400111;Escocia;PH
23;FM;Rey Malde, Henrique;ESP;2174;2244969;Ourense;PH
24;WFM;Jimenez Fernandez, Rebeca;ESP;2163;32070934;Zarandona;PH
25;IM;Meszaros, Andras;HUN;2150;700720;Hungría;PH
26;;Cubillo Munoz, Miguel;ESP;2147;22221093;Madrid;PH
27;;Torosyan Saghatelyan, Arturo;ESP;2140;54747910;Mislata;PHCV
28;FM;Delaney, John;IRL;2137;2500060;Irlanda;PH
29;;Palomo Teruel, Xavier;ESP;2137;2202999;Cataluña;PH
30;FM;Tonndorf, Matthias;GER;2133;4682033;Alemania;PH
31;;Bercaru, Vlad Ionut;ESP;2131;54579546;Monteolivete;PHCV
32;IM;Stachanczyk, Jacek;POL;2129;1116657;PZSZACH;PH
