BENIDORM CHESS OPEN “B” (U2000);;;;;;;;;;;;;;
Benidorm, Alicante, Spain, 2022-12-03 - 2022-12-11;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Clasificación   ;;;;;;;;;;;;;;
Pos.;Ran.;Tít.;Nombre;Fed.;Pts.;DirE;APRO;BucM;ARO.;Mwns;MBlk;FIDE;Nac.;Origen/Club
1;14;;Goktepe, Derin;USA;9,0;0.0;1798.3;39.0;1750.0;9;5;1895;0;
2;84;;Sai Hrushikesh Simhdri;IND;7,5;0.0;1861.8;41.5;1842.8;7;4;1460;0;
3;42;;Mallevaey, Guillaume;FRA;7,0;0.0;1801.9;39.0;1762.3;6;4;1761;0;
4;62;;Tsiapko, Andrii;UKR;7,0;0.0;1799.0;40.0;1824.8;5;4;1633;0;
5;76;;Leelajai Krishna N;IND;7,0;0.0;1701.1;37.5;1848.7;7;5;1491;0;
6;17;;Pajuelo Morales, Raul;ESP;6,5;0.0;1854.2;36.0;1592.7;5;4;1890;1933;Madrid
7;28;;Martinez Dourado, Daniel;ESP;6,5;0.0;1814.4;36.5;1728.7;6;5;1837;1836;Galicia
8;20;;Prieto, Alberto;USA;6,5;0.0;1769.9;36.5;1729.7;6;5;1886;0;
9;1;;Palao, Adriana;PER;6,0;0.0;1895.8;42.5;1778.7;5;4;1978;1968;Comunidad Valenciana
10;50;;Aadith R;IND;6,0;0.0;1804.4;39.0;1805.3;5;4;1714;0;
11;12;;Lopez de Turiso, Jose Angel;ESP;6,0;0.0;1796.0;37.0;1664.6;5;5;1909;1931;Madrid
12;25;;Sanabria Taskila, Jenny Maria;ESP;6,0;0.0;1783.1;39.5;1730.3;4;4;1852;1849;Canarias
13;10;;Lopez Palomar, Jose;ESP;6,0;0.0;1771.9;34.0;1700.8;5;5;1913;1893;Comunidad Valenciana
14;7;;Saber, Anas;MAR;6,0;0.0;1752.2;34.0;1719.2;5;4;1920;0;
15;4;;Selva Salvador, Antonio;ESP;6,0;0.0;1749.0;34.0;1735.9;4;5;1954;1969;Comunidad Valenciana
16;8;;Ionita, Emilian-Paul;ROU;6,0;0.0;1747.3;33.5;1622.9;5;5;1919;0;
17;21;;Nwachukwu, Chino;NGR;6,0;0.0;1694.0;30.0;1516.7;6;4;1885;0;
18;24;;Rodriguez Gomez, Vicente;ESP;6,0;0.0;1687.8;31.5;1483.8;5;4;1854;1856;Madrid
19;53;;Nieto Foresti, Julian;ESP;6,0;0.0;1573.2;30.0;1619.2;6;4;1709;1758;Baleares
20;3;;Saez Gabikagogeaskoa, Oscar;ESP;5,5;0.0;1794.0;35.0;1820.2;5;5;1960;1990;FEDC
21;35;;Garcia Bueno, Juan Pablo;ESP;5,5;0.0;1771.4;37.5;1807.1;4;5;1788;1835;Aragón
22;13;;Izquierdo Carbellido, Pablo;ESP;5,5;0.0;1767.7;36.0;1695.9;5;4;1900;1900;Comunidad Valenciana
23;16;;Roca Cruz, Rafael;ESP;5,5;0.0;1702.1;32.5;1624.8;4;5;1894;1892;Comunidad Valenciana
24;2;;Place, Nicholas;USA;5,5;0.0;1696.0;33.0;1713.8;5;5;1967;0;
25;40;;Fuster Aguilo, Joan;ESP;5,5;0.0;1692.3;36.0;1744.6;4;5;1772;1819;FEDC Baleares
26;45;;Mateev, Kaloyan Mateev;BUL;5,5;0.0;1668.6;35.5;1776.0;4;4;1735;0;
27;22;;Camison Zornoza, Cesar;ESP;5,5;0.0;1664.2;32.5;1666.0;5;5;1874;1887;Comunidad Valenciana
28;80;;Conde Negro, Francisco Javier;ESP;5,5;0.0;1648.7;33.5;1713.9;5;4;1479;1734;Castilla y León
29;113;;Sanchez-Laulhe Garcia-Mercadal,;ESP;5,5;0.0;1622.9;35.0;1824.8;5;4;0;0;Comunidad Valenciana
