BENIDORM CHESS OPEN B Sub-2000;;;;;;;;;;;;;;;;
Benidorm (Alicante), 2023-10-29 - 2023-11-05;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Clasificación   ;;;;;;;;;;;;;;;;
Pos.;Ran.;Tít.;Nombre;Fed.;Pts.;DE2;APRO;BucM;ARO.;Mwns;User;MBlk;FIDE;Nac.;Origen/Club;Info
1;5;;Navarro Rico, Lluis;ESP;7,5;0.0;1822.4;40.0;1798.6;7;0.0;5;1937;0;;CV
2;11;;Perez Garcia, Juan Angel;ESP;7,0;0.0;1902.3;43.0;1815.9;5;0.0;5;1918;0;;H
3;15;;Hushpit, Lukian ..;IRL;7,0;0.0;1778.7;37.5;1795.6;6;0.0;4;1910;0;;
4;21;;Rodriguez Lopez, Ruben;ESP;7,0;0.0;1744.8;36.0;1743.7;7;0.0;5;1874;0;;
5;66;;Zhu, Pengxiao;ENG;7,0;0.0;1706.8;38.0;1810.7;6;0.0;5;1571;0;;H
6;37;;Lopez de Turiso Sanchez, Jose An;ESP;6,5;0.0;1870.4;41.0;1837.6;6;0.0;4;1801;0;;
7;7;;Bote Kobolo, Benjamin E.;ESP;6,5;0.0;1822.1;40.0;1800.0;5;0.0;4;1923;0;;H
8;38;;Strand, Amund Pihl;NOR;6,5;0.0;1697.3;33.0;1657.0;6;0.0;4;1800;0;;H
9;35;;Munoz Osete, Marcos;ESP;6,5;0.0;1679.6;34.0;1805.8;6;0.0;5;1808;0;;CV
10;6;;Robledo Sanchez, Saul;ESP;6,0;0.0;1850.7;39.0;1691.1;3;0.0;4;1926;0;;CV
11;17;;Reig Albero, Ferran;ESP;6,0;0.0;1792.2;40.0;1821.2;4;0.0;4;1884;0;;CVH
12;20;;Nguyen, Khoi;BEL;6,0;0.0;1782.1;37.0;1699.8;5;0.0;4;1875;0;;H
13;3;;Perez Garcia, Jose Miguel;ESP;6,0;0.0;1781.3;38.5;1822.3;5;0.0;5;1950;0;;CVH
14;2;;Lloret Climent, Miguel;ESP;6,0;0.0;1754.9;37.0;1823.6;5;0.0;4;1954;0;;CV
15;49;;Torres Rebolledo, Marcos ..;ESP;6,0;0.0;1732.4;41.0;1796.6;5;0.0;5;1700;0;;H
16;34;;Turner, Justin;AUS;6,0;0.0;1726.6;36.0;1698.8;6;0.0;4;1815;0;;CVH
17;47;;Nordgreen, Jan Thomas;ESP;6,0;0.0;1724.9;34.0;1749.7;5;0.0;5;1705;0;;H
18;40;;Wernberg, Nikolai Olsen;NOR;6,0;0.0;1671.8;31.5;1777.9;5;0.0;4;1782;0;;H
19;26;;Roca Cruz, Rafael;ESP;6,0;0.0;1635.4;30.0;1601.9;5;0.0;4;1845;0;;CVH
20;16;;Stolp, Aleksander;NOR;6,0;0.0;1600.8;29.0;1647.4;5;0.0;4;1888;0;;H
21;96;;Bukharkov, Stepan  ..;FID;6,0;0.0;1575.0;32.0;1784.8;5;0.0;5;1312;0;;
22;18;;Cafolla, Peter;IRL;5,5;0.0;1857.7;40.5;1755.6;4;0.0;4;1881;0;;H
23;9;;Oreshkin, Vladislav;ESP;5,5;0.0;1764.0;38.5;1773.1;4;0.0;5;1920;0;;CV
24;1;;Aguado Crespo, Antonio;ESP;5,5;0.0;1711.1;34.0;1714.1;4;0.0;4;1971;0;;CV
25;42;;Kane, Robert;ENG;5,5;0.0;1709.5;31.0;1672.3;4;0.0;4;1736;0;;H
26;36;;Dawson, Alastair;SCO;5,5;0.0;1682.1;33.5;1653.1;4;0.0;5;1804;0;;H
27;33;;Rodriguez Perez, Mauro;ESP;5,5;0.0;1656.1;32.5;1565.9;3;0.0;5;1829;0;;H
28;46;;Gerona Maura, Jesus;ESP;5,5;0.0;1637.1;33.5;1520.1;4;0.0;4;1705;0;;CVH
29;14;;Ruiz Ureta, Ernesto;ESP;5,0;0.0;1836.9;40.0;1717.2;4;0.0;4;1911;0;;H
30;10;;Machin Arbelo, Pedro Alexis;ESP;5,0;0.0;1825.0;39.0;1790.3;4;0.0;5;1918;0;;H
31;27;;Fernandez Lopez, Francisco J.;ESP;5,0;0.0;1792.2;40.5;1696.2;4;0.0;4;1835;0;;CV
32;23;;Viciano Barrachina, Aitor;ESP;5,0;0.0;1782.9;37.0;1727.0;3;0.0;4;1865;0;;CVH
33;13;;Vallbona Domingo, Joan;ESP;5,0;0.0;1765.8;37.0;1762.9;4;0.0;5;1915;0;;H
34;41;;Guillen Montiel, Jose Luis;ESP;5,0;0.0;1756.6;35.5;1761.6;4;0.0;5;1746;0;;CV
35;28;;Gimeno Simo, Sergio ..;ESP;5,0;0.0;1741.4;35.5;1799.7;4;0.0;4;1834;0;;CVH
36;60;;Nechifor, David;ESP;5,0;0.0;1730.2;37.0;1698.4;2;0.0;4;1608;0;;CV
37;8;;Camison Zornoza, Cesar;ESP;5,0;0.0;1715.4;34.5;1689.6;5;0.0;4;1923;0;;CVH
38;43;;Viudes Serra, Aaron;ESP;5,0;0.0;1699.6;33.0;1686.9;5;0.0;5;1732;0;;CV
39;12;;Zamora Soler, Raul;ESP;5,0;0.0;1693.1;35.0;1659.3;4;0.0;4;1918;0;;CV
40;45;;Lien, Sebastian;NOR;5,0;0.0;1692.6;35.0;1781.0;3;0.0;5;1706;0;;H
41;30;;Fernandez Perez, Josep;ESP;5,0;0.0;1678.8;30.5;1541.6;4;0.0;4;1831;0;;H
42;31;;Williams, Duncan;WLS;5,0;0.0;1658.3;34.0;1659.2;2;0.0;5;1831;0;;H
43;50;;Nieto Lopez, Francisco Ramon;ESP;5,0;0.0;1635.1;33.0;1552.9;4;0.0;4;1688;0;;H
