BENIDORM CHESS OPEN B Sub-2000,,,,,,,,,
"Benidorm (Alicante), 2023-10-29 - 2023-11-05",,,,,,,,,
,,,,,,,,,
Ranking inicial   ,,,,,,,,,
Ran.,Tít.,Nombre,Fed.,FIDE,Nac.,FIDE ID,ID Nac.,Origen/Club,Info
1,,"Aguado Crespo, Antonio",ESP,1971,0,22275290,0,,CV
2,,"Lloret Climent, Miguel",ESP,1954,0,2206439,0,,CV
3,,"Perez Garcia, Jose Miguel",ESP,1950,0,2227657,0,,CVH
4,,"Hassomal Daswani, Birjkumar",ESP,1945,0,2224356,0,,CVH
5,,"Navarro Rico, Lluis",ESP,1937,0,32045913,0,,CV
6,,"Robledo Sanchez, Saul",ESP,1926,0,24554650,0,,CV
7,,"Bote Kobolo, Benjamin E.",ESP,1923,0,2289440,0,,H
8,,"Camison Zornoza, Cesar",ESP,1923,0,24580376,0,,CVH
9,,"Oreshkin, Vladislav",ESP,1920,0,54535603,0,,CV
10,,"Machin Arbelo, Pedro Alexis",ESP,1918,0,2260972,0,,H
11,,"Perez Garcia, Juan Angel",ESP,1918,0,2211262,0,,H
12,,"Zamora Soler, Raul",ESP,1918,0,2273225,0,,CV
13,,"Vallbona Domingo, Joan",ESP,1915,0,2291487,0,,H
14,,"Ruiz Ureta, Ernesto",ESP,1911,0,22229833,0,,H
15,,"Hushpit, Lukian ..",IRL,1910,0,14189208,0,,
16,,"Stolp, Aleksander",NOR,1888,0,1541501,0,,H
17,,"Reig Albero, Ferran",ESP,1884,0,2207516,0,,CVH
18,,"Cafolla, Peter",IRL,1881,0,2500884,0,,H
19,,"Hall, Rachid",ESP,1875,0,22224327,0,,H
20,,"Nguyen, Khoi",BEL,1875,0,272540,0,,H
21,,"Rodriguez Lopez, Ruben",ESP,1874,0,2298295,0,,
22,,"Selva Salvador, Antonio",ESP,1871,0,2223821,0,,CVH
23,,"Viciano Barrachina, Aitor",ESP,1865,0,2246872,0,,CVH
24,,"Salter, David",IRL,1855,0,2501988,0,,H
25,,"Blasco Marques, Salvador",ESP,1852,0,2208644,0,,CVH
26,,"Roca Cruz, Rafael",ESP,1845,0,32022450,0,,H
27,,"Fernandez Lopez, Francisco J.",ESP,1835,0,2212323,0,,
28,,"Gimeno Simo, Sergio ..",ESP,1834,0,22293965,0,,CVH
29,,"Codina Garcia, Jose",ESP,1832,0,2206340,0,,H
30,,"Fernandez Perez, Josep",ESP,1831,0,32023910,0,,H
31,,"Williams, Duncan",WLS,1831,0,1805592,0,,H
32,,"Rios Garcia, Miguel",ESP,1829,0,2219000,0,,CVH
33,,"Rodriguez Perez, Mauro",ESP,1829,0,2256371,0,,H
34,,"Turner, Justin",AUS,1815,0,3225593,0,,CVH
35,,"Munoz Osete, Marcos",ESP,1808,0,54542987,0,,CV
36,,"Dawson, Alastair",SCO,1804,0,412651,0,,H
37,,"Lopez de Turiso Sanchez, Jose An",ESP,1801,0,2207680,0,,CV
38,,"Strand, Amund Pihl",NOR,1800,0,1542184,0,,H
39,,"Fuentes Arjona, Antonio",ESP,1797,0,2280329,0,,H
40,,"Wernberg, Nikolai Olsen",NOR,1782,0,1542770,0,,H
41,,"Guillen Montiel, Jose Luis",ESP,1746,0,2282097,0,,CV
42,,"Kane, Robert",ENG,1736,0,420468,0,,H
43,,"Viudes Serra, Aaron",ESP,1732,0,2247658,0,,CV
44,,"Martinez Martin, Francisco",ESP,1714,0,24581208,0,,CV
45,,"Lien, Sebastian",NOR,1706,0,1567888,0,,H
46,,"Gerona Maura, Jesus",ESP,1705,0,2271303,0,,CVH
47,,"Nordgreen, Jan Thomas",ESP,1705,0,24516260,0,,H
48,,"Pedraza Fernandez, Miguel Angel",ESP,1702,0,2275376,0,,CV
49,,"Torres Rebolledo, Marcos ..",ESP,1700,0,24594423,0,,H
50,,"Nieto Lopez, Francisco Ramon",ESP,1688,0,2277646,0,,H
51,,"Rodriguez Moya, David",ESP,1680,0,2224224,0,,CV
52,,"Vicente Soriano, Josep",ESP,1668,0,2270978,0,,H
53,,"Espejo Montagut, Jose Maria",ESP,1651,0,2281619,0,,H
54,,"Minguela Munoz, Bienvenido",ESP,1651,0,2282143,0,,H
55,,"Alberti, Milo",SUI,1633,0,134105363,0,,H
56,,"Martinez Zazo, Jesus",ESP,1631,0,2237695,0,,H
57,,"Oliva, Andrea",ITA,1626,0,836800,0,,CV
58,,"Planelles Ortega, Emilio",ESP,1626,0,2237750,0,,CV
59,,"Winter, Kevin",ENG,1621,0,421960,0,,H
60,,"Nechifor, David",ESP,1608,0,54788455,0,,CV
61,,"Garcia Yepes, Miguel Angel",ESP,1601,0,32015046,0,,CV
62,,"Del Riego Sanchez, Rafael",BEL,1598,0,278114,0,,H
63,,"Medina Sanchez, Gines",ESP,1581,0,2279100,0,,H
64,,"Garcia Santiago, Juan Carlos",ESP,1577,0,54744296,0,,H
65,,"Lines, David",ESP,1573,0,24553581,0,,CV
66,,"Zhu, Pengxiao",ENG,1571,0,499307,0,,H
