BENIDORM CHESS OPEN B Sub-2000 2025;;;;;;;;;;;;;;
Benidorm, 2025-10-26 - 2025-11-02;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Clasificación;;;;;;;;;;;;;;
Pos.;Ran.;Tít.;Nombre;Fed.;Pts.;BH/C1;BH;REP;WIN;BPG;APPO;FIDE;Origen/Club;Info
1;6;;Vazquez Gonzalez, Francisco;ESP;7,5;47.5;51.5;9;6;4;1961;1987;Villaverde;H
2;21;;Vazquez Gonzalez, Jesus;ESP;7,5;46.0;50.0;9;6;4;1884;1929;Villaverde;H
3;13;CM;Reig Albero, Ferran;ESP;7,0;50.0;57.0;8;5;4;1994;1956;Motilla Alzira;CVH
4;7;;Helmer, Janos;ROU;7,0;49.0;53.0;9;6;5;1913;1985;CSM Cluj-Napoca;H
5;1;CM;Uran Bermudez, Oliver Kevin;VEN;7,0;48.5;53.0;9;5;5;1952;1998;Benetusser;CVH
6;14;;Ortega Herrera, Paris Francisco;ESP;7,0;47.0;51.5;9;5;5;1918;1948;Coimbra Jumilla;
7;15;;Minescu, Dragos-Olivar;ROU;7,0;45.0;52.0;8;6;3;1893;1947;Rumanía;H
8;8;;Bote Kobolo, Benjamin E.;ESP;7,0;44.0;47.0;9;7;4;1836;1965;Madrid;H
9;171;;Grigoryev, Valery;ESP;7,0;43.0;47.5;9;6;4;1781;0;Calpe;CV
10;32;;Moreno Alberti, Manuel;ESP;7,0;40.0;44.0;9;6;4;1813;1899;TIM Idiomas;H
11;5;;Underwood, Jon;ENG;6,5;50.5;54.5;9;5;5;1952;1990;England;H
12;17;;Saez Gabikagogeaskoa, Oscar;ESP;6,5;42.5;49.0;8;6;4;1884;1941;FEDC;H
13;88;;Spionkowski, Fabian;POL;6,5;40.0;42.0;9;5;4;1768;1758;PZSZACH;H
14;18;;Spanton, Tim R;ENG;6,5;38.5;45.0;8;5;4;1832;1941;Battersea;H
15;29;;Fichtinger, Leopold;AUT;6,0;46.0;50.0;9;5;5;1909;1914;Austria;H
16;38;;Borrego Gil, Diego;ESP;6,0;46.0;50.0;9;5;5;1895;1888;Trebejos;H
17;65;;Penades Ordaz, Miguel;ESP;6,0;45.5;51.5;8;5;3;1874;1826;Basilio;CV
18;116;;Valiente Zabalza, Daniel;ESP;6,0;43.5;48.0;9;5;4;1789;1673;La Vila;CV
19;36;;Selva Salvador, Antonio;ESP;6,0;43.0;49.0;7;4;3;1875;1891;Valencia;CVH
20;40;;Pedraza Fernandez, Miguel Angel;ESP;6,0;43.0;46.5;9;6;4;1807;1887;Ateneo Elx;CV
21;41;;Cohen, Israel;ISR;6,0;42.5;46.5;9;5;5;1830;1886;Israel;H
22;20;;Fernandez Garcia, Olmo;ESP;6,0;42.5;46.5;9;5;4;1851;1932;Montserrat;CVH
23;72;;Ormerod, Stephen;ENG;6,0;42.5;43.5;9;6;4;1773;1803;Xàbia;CV
24;99;;Nilsen, Truls Fredin;NOR;6,0;41.5;45.0;9;6;5;1748;1727;Noruega;H
25;22;;Aragon Gutierrez, Alejandro;ESP;6,0;41.5;45.0;9;3;5;1837;1927;Virgen de Atocha;H
26;48;;Mulleady, Peter J;ENG;6,0;41.5;43.5;9;6;4;1807;1868;Atherton;H
27;46;;Viudes Serra, Aaron;ESP;6,0;41.0;44.0;9;6;4;1826;1872;Alonis;CV
28;63;;Bolkeny, Gabor;HUN;6,0;40.5;43.5;9;5;4;1813;1829;Hungría;H
29;31;;Perez Garcia, Jose Miguel 1981;ESP;6,0;39.5;45.5;8;5;4;1832;1910;CM Castellón;CVH
30;25;;Hassomal Daswani, Birjkumar;ESP;6,0;39.0;45.0;8;5;4;1805;1920;Dama Roja;CVH
31;23;;Penarrubia Blasco, Jose Alfredo;ESP;6,0;36.5;42.5;8;5;4;1753;1926;Meliana;CVH
32;9;;Machin Arbelo, Pedro Alexis;ESP;6,0;36.5;40.5;9;5;5;1708;1960;Dama el Sauzal;H
33;53;;Matthews, Gabriel;IRL;6,0;36.0;42.0;8;5;4;1736;1850;Irlanda;H
34;4;;Oreshkin, Vladislav;ESP;5,5;47.5;51.5;9;5;5;1907;1990;L'Alfàs del Pi;CVH
35;28;;Perez Garcia, Juan Angel;ESP;5,5;46.0;51.5;8;5;4;1909;1915;Ateneo Albacetense;H
36;56;;Jover Fuentes, Conchita;ESP;5,5;44.0;49.5;6;3;3;1883;1849;Chaturanga;HCV
37;176;;Redmond, Pete;ENG;5,5;44.0;48.0;9;4;5;1775;0;Ilkley Chess Centre;H
38;45;;Rodriguez Perez, Mauro;ESP;5,5;43.5;47.5;9;3;4;1886;1872;Canarias 64;H
