BENIDORM CHESS OPEN B Sub-2000 2025;;;;;;;
Benidorm, 2025-10-26 - 2025-11-02;;;;;;;
;;;;;;;
Ranking inicial;;;;;;;
Ran.;Tít.;Nombre;Fed.;FIDE;FIDE ID;Origen/Club;Info
1;CM;Uran Bermudez, Oliver Kevin;VEN;1998;3903354;Benetusser;PHCV
2;;Alonso Rodriguez, Tristan;ESP;1996;24594520;Padrón;FP
3;;Blanco Sanchez, Jose Fernando;ESP;1993;2203332;Alcobendas;P
4;;Oreshkin, Vladislav;ESP;1990;54535603;L'Alfàs del Pi;PHCV
5;;Underwood, Jon;ENG;1990;425877;England;PH
6;;Vazquez Gonzalez, Francisco;ESP;1987;2207559;Villaverde;PH
7;;Helmer, Janos;ROU;1985;1201239;CSM Cluj-Napoca;PH
8;;Bote Kobolo, Benjamin E.;ESP;1965;2289440;Madrid;PH
9;;Machin Arbelo, Pedro Alexis;ESP;1960;2260972;Dama el Sauzal;PH
10;;Megias Chafer, Alejandro;ESP;1959;2220717;Xàtiva;MPCV
11;;Camison Zornoza, Cesar;ESP;1957;24580376;Fast Carlet;PHCV
12;;Rutherford, William;SCO;1957;2401045;Escocia;H
13;CM;Reig Albero, Ferran;ESP;1956;2207516;Motilla Alzira;HPCV
14;;Ortega Herrera, Paris Francisco;ESP;1948;24588512;Coimbra Jumilla;FP
15;;Minescu, Dragos-Olivar;ROU;1947;1203991;Rumanía;PH
16;;Moya Albaladejo, Jose Antonio;ESP;1943;2224046;Mar Menor;PH
17;;Saez Gabikagogeaskoa, Oscar;ESP;1941;2219387;FEDC;PH
18;;Spanton, Tim R;ENG;1941;404802;Battersea;PH
19;;Persson Bogdanovic, Nils Oskar;ESP;1934;24578380;Enric Valor;FPCV
20;;Fernandez Garcia, Olmo;ESP;1932;22237283;Montserrat;PHCV
21;;Vazquez Gonzalez, Jesus;ESP;1929;2210193;Villaverde;PH
22;;Aragon Gutierrez, Alejandro;ESP;1927;32016522;Virgen de Atocha;PH
23;;Penarrubia Blasco, Jose Alfredo;ESP;1926;2290162;Meliana;PHCV
24;;Fernandez Lopez, Fernando Javier;ESP;1921;2203227;Chaturanga;PCV
25;;Hassomal Daswani, Birjkumar;ESP;1920;2224356;Dama Roja;HPCV
26;;Pajuelo Morales, Raul;ESP;1919;2231050;Vallecas Villa;PH
27;;Moreno Latorre, Francisco Jose;ESP;1915;2221020;Ramiro Zaragoza;PH
28;;Perez Garcia, Juan Angel;ESP;1915;2211262;Ateneo Albacetense;PH
29;;Fichtinger, Leopold;AUT;1914;1619918;Austria;PH
30;;Marquez Bernal, Florencio;ESP;1912;2275309;Chaturanga Arriate;PH
31;;Perez Garcia, Jose Miguel 1981;ESP;1910;2227657;CM Castellón;PHCV
32;;Moreno Alberti, Manuel;ESP;1899;2251582;TIM Idiomas;PH
33;;Jara Segovia, Jesus Javier;VEN;1897;3925439;Venezuela;PH
34;;Moreno Cervera, Jose Luis;ESP;1896;2274213;Oliva;PCV
35;;Roca Cruz, Rafael;ESP;1895;32022450;Motilla Alzira;PHCV
36;;Selva Salvador, Antonio;ESP;1891;2223821;Valencia;PHCV
37;;Rios Garcia, Miguel;ESP;1890;2219000;Riba-roja;PHCV
38;;Borrego Gil, Diego;ESP;1888;2256657;Trebejos;PH
39;;Villaverde Ruiz, Felix;ESP;1888;32002637;Vilafranca;PH
40;;Pedraza Fernandez, Miguel Angel;ESP;1887;2275376;Ateneo Elx;PCV
41;;Cohen, Israel;ISR;1886;2857286;Israel;FP
42;;Lopez Capape, Armando;ESP;1886;2277603;Ramiro Zaragoza;PH
43;;Garcia Claros, Salvador;ESP;1885;54788943;Trebejos;PH
44;;Salter, David;IRL;1883;2501988;Phibsboro;PH
45;;Rodriguez Perez, Mauro;ESP;1872;2256371;Canarias 64;PH
46;;Viudes Serra, Aaron;ESP;1872;2247658;Alonis;FPCV
47;;Martinez De Soria Gordon, Jose M;ESP;1871;2259249;Rey Ardid Bilbao;PH
48;;Mulleady, Peter J;ENG;1868;416347;Atherton;PH
49;;Fernandez Lopez, Francisco J.;ESP;1863;2212323;Chaturanga;PCV
50;;Rios Torondell, Jaume;ESP;1863;2223236;Calldetenes;FP
51;;Ruiz Ureta, Ernesto;ESP;1858;22229833;Zamora;PH
52;;Matthews, Gabriel;IRL;1850;2511401;Irlanda;PH
53;;Blasco Marques, Salvador;ESP;1856;2208644;Motilla Alzira;PHCV
54;;Antohi, Marius;IRL;1849;2510251;Blanchardstown;PH
55;;Calero Aguilar, Eufrasio;ESP;1849;94735646;Cambrils;H
56;;Jover Fuentes, Conchita;ESP;1849;2216795;Chaturanga;PHCV
57;;Solbakken, Mikkel Damtoft;NOR;1844;1568698;Noruega;MPH
58;;Fuentes Arjona, Antonio;ESP;1842;2280329;Mostoles;PH
59;;Albuixech Sanz, Jorge;ESP;1838;22218149;Xàtiva;FPHCV
60;;Picornell Morant, Jose Enrique;ESP;1837;2214741;Xeraco;PHCV
61;;Meler Tevar, Sergio;ESP;1836;22239111;Chaturanga;PCV
62;;Risueno Banuls, Manuel;ESP;1833;523003561;Calpe;MPCV
63;;Bolkeny, Gabor;HUN;1829;729043;Hungría;PH
64;;Gonzalez Gorriz, Javier;ESP;1826;54562201;Montserrat;PHCV
65;;Penades Ordaz, Miguel;ESP;1826;523056282;Basilio;PCV
66;;Cabrera Guerrero, Antonio;ESP;1819;32015020;Calpe;MPCV
67;;Corcoran, Gary;ENG;1813;418560;Bradford;PH
68;;Alonso Jimenez, Jaime;ESP;1809;2287030;La Vila;PCV
69;;Lopez Heras, Arturo;ESP;1807;2225433;La Didáctica;PH
70;;Arugadoss, Bharath;GER;1804;16217098;SV Koblenz;PH
71;;Geyler, Stefan, Dr.;GER;1804;24605638;Alemania;PB
72;;Ormerod, Stephen;ENG;1803;450227;England;P
73;;Caparros Fernandez, Xavier;ESP;1802;22220160;Martorell;PH
74;;Fernandez Garcia, Ignacio;ESP;1802;2226782;La Didáctica;PH
75;;Alarcon Roman, Antonio;ESP;1801;54791022;FEDC;P
76;;Quiros Florea, Rafael-Santiago;ESP;1798;42211328;Diagonal Alcorcón;PH
77;;Valarezzo Ricard, Pedro;ESP;1792;2264137;Castelldefels;FP
78;;Nieto Lopez, Francisco Ramon;ESP;1790;2277646;Ateneo Albacetense;PH
79;;Hoifodt, Jakob Salen;NOR;1785;1565770;Noruega;PH
80;;Karlsson, Bengt-Ake;SWE;1785;1726609;Suecia;P
81;;Parreno Banuls, Raul;ESP;1782;24511218;Montserrat;PHCV
82;;Urios Hernandez, Ramon;ESP;1779;2227746;Burjassot;PCV
83;;Calonge Fabregat, Miquel;ESP;1778;32004044;Tarragona;PH
84;;Mulet Salva, Jeroni;ESP;1775;94714606;Xàbia;FPCV
85;;Pichel Jallas, Juan Jose;ESP;1766;2206889;FEDC;PH
86;;Planelles Ortega, Emilio;ESP;1765;2237750;Ateneo Elx;PCV
